TOKEN	TYPE	COUNT	RATIO	FORMAT	CASE	LENGTH	INDEXES
Salgada	salgada	1	0.0025974	W	S	7	296
vencedores	vencedores	1	0.0025974	W	L	10	274
Apoio	apoio	1	0.0025974	W	S	5	231
aos	aos	1	0.0025974	W	L	3	186
feminina	feminina	2	0.00519481	W	L	8	45,202
cerrado	cerrado	1	0.0025974	W	L	7	335
tocantinense	tocantinense	2	0.00519481	W	L	12	166,353
competição	competicao	1	0.0025974	W	L	10	154
Universidade	universidade	1	0.0025974	W	S	12	90
Foto	foto	2	0.00519481	W	S	4	13,204
48	48	1	0.0025974	N	NA	2	134
foi	foi	3	0.00779221	W	L	3	25,75,179
o	o	5	0.012987	W	L	1	26,55,157,169,332
Pelizzari	pelizzari	2	0.00519481	W	S	9	16,207
64	64	2	0.00519481	N	NA	2	52,138
categoria	categoria	3	0.00779221	W	L	9	44,201,276
caroços	carocos	2	0.00519481	W	L	7	39,188
parte	parte	1	0.0025974	W	L	5	217
certo	certo	1	0.0025974	W	L	5	131
Na	na	1	0.0025974	W	S	2	43
Salgado	salgado	1	0.0025974	W	S	7	280
boa	boa	1	0.0025974	W	L	3	177
noite	noite	1	0.0025974	W	L	5	78
Doçuras	docuras	1	0.0025974	W	S	7	378
quando	quando	1	0.0025974	W	L	6	251
às	as	1	0.0025974	W	L	2	232
Secom	secom	2	0.00519481	W	S	5	18,209
foram	foram	1	0.0025974	W	L	5	137
participo	participo	1	0.0025974	W	L	9	124
pratos	pratos	1	0.0025974	W	L	6	106
Bom	bom	1	0.0025974	W	S	3	366
Centro	centro	1	0.0025974	W	S	6	362
após	apos	1	0.0025974	W	L	4	36
Silva	silva	1	0.0025974	W	S	5	359
sobre	sobre	1	0.0025974	W	L	5	331
receitas	receitas	1	0.0025974	W	L	8	255
